route_id,transport_mode,cost_eur,distance_km,shipment_date
DE-FR,Rail,1367.47,243,2026-03-11
DE-FR,Air,5331.2,980,2026-04-04
DE-FR,Truck,686.21,552,2026-04-01
NL-DE,Air,5798.61,1356,2026-04-03
NL-IT,Sea,3177.87,503,2026-03-13
DE-FR,Rail,2515.73,686,2026-03-20
DE-FR,Air,6712.04,353,2026-04-03
NL-IT,Air,2608.83,252,2026-03-08
NL-FR,Rail,1153.78,1829,2026-03-15
NL-DE,Sea,2955.88,260,2026-04-02
DE-FR,Truck,1487.79,1627,2026-03-29
NL-DE,Sea,3162.82,787,2026-03-25
FR-ES,Sea,2103.15,662,2026-03-15
NL-FR,Air,5786.83,1400,2026-03-07
NL-DE,Truck,1653.81,552,2026-03-09
DE-FR,Truck,1498.39,646,2026-03-20
DE-FR,Air,3062.66,257,2026-03-08
NL-IT,Rail,2812.7,1868,2026-04-01
FR-ES,Air,3984.5,706,2026-04-03
FR-ES,Air,7118.06,1080,2026-03-14
NL-FR,Truck,1133.84,1916,2026-03-27
NL-IT,Sea,3532.64,1995,2026-03-23
NL-FR,Air,3253.51,1762,2026-03-10
NL-DE,Rail,2730.22,1227,2026-04-05
FR-ES,Truck,1904.97,1805,2026-03-14
NL-DE,Rail,2582.25,507,2026-03-24
NL-DE,Air,5068.05,135,2026-03-24
DE-FR,Air,5899.78,570,2026-03-22
NL-IT,Air,5473.19,1788,2026-03-11
NL-FR,Sea,3945.52,669,2026-03-15
NL-IT,Truck,574.7,543,2026-04-01
DE-FR,Truck,2155.74,1103,2026-03-25
FR-ES,Truck,1414.53,1091,2026-03-17
DE-FR,Rail,1989.4,755,2026-03-24
NL-IT,Rail,1935.86,756,2026-03-13
NL-FR,Sea,2300.56,1469,2026-04-01
NL-DE,Rail,2917.83,1112,2026-04-05
NL-FR,Rail,2813.47,1219,2026-03-07
FR-ES,Rail,2372.11,996,2026-03-21
FR-ES,Truck,1975.79,889,2026-03-08
NL-FR,Sea,1143.15,1779,2026-03-18
FR-ES,Truck,740.33,1343,2026-04-01
DE-FR,Sea,1122.19,552,2026-03-25
FR-ES,Air,2587.0,650,2026-04-02
FR-ES,Truck,1429.35,122,2026-03-11
DE-FR,Rail,2888.12,901,2026-03-17
NL-IT,Sea,1045.91,541,2026-04-05
DE-FR,Air,5952.16,1139,2026-03-13
NL-DE,Air,5854.52,995,2026-03-10
NL-FR,Air,5452.85,1798,2026-03-09
NL-IT,Truck,1416.51,1550,2026-04-01
NL-DE,Air,4316.62,1291,2026-03-27
FR-ES,Sea,1587.37,111,2026-03-23
NL-FR,Rail,885.72,134,2026-03-14
FR-ES,Truck,1811.45,1069,2026-03-11
NL-DE,Rail,2591.83,1319,2026-03-11
NL-IT,Truck,1196.67,512,2026-03-13
FR-ES,Air,4507.68,860,2026-04-02
NL-IT,Rail,1731.64,1812,2026-04-03
NL-DE,Air,2766.14,195,2026-03-13
FR-ES,Sea,3792.27,1903,2026-03-20
NL-DE,Sea,3252.61,966,2026-03-28
DE-FR,Rail,2785.62,828,2026-03-15
NL-DE,Truck,2291.05,1735,2026-03-25
DE-FR,Truck,2310.76,364,2026-03-30
DE-FR,Air,7700.37,950,2026-03-11
FR-ES,Sea,1249.85,1222,2026-03-25
FR-ES,Truck,1607.41,1607,2026-03-16
FR-ES,Sea,3343.89,1816,2026-03-27
NL-FR,Rail,926.63,1256,2026-04-03
NL-IT,Sea,2637.75,757,2026-03-22
NL-FR,Air,6128.18,591,2026-03-20
FR-ES,Truck,2176.96,1291,2026-03-27
NL-FR,Truck,2143.72,1317,2026-04-01
NL-IT,Truck,669.68,1771,2026-03-21
DE-FR,Truck,1241.28,1780,2026-03-30
DE-FR,Truck,1683.78,1193,2026-03-09
DE-FR,Sea,2445.0,1305,2026-03-30
NL-IT,Sea,1746.17,138,2026-03-07
NL-FR,Sea,1761.05,1343,2026-03-07
FR-ES,Rail,2430.14,994,2026-03-28
FR-ES,Sea,3238.13,447,2026-03-07
NL-DE,Truck,1249.74,1532,2026-03-13
NL-FR,Truck,947.19,1679,2026-03-24
FR-ES,Air,5336.03,179,2026-03-15
FR-ES,Truck,2485.93,1799,2026-04-03
NL-FR,Sea,3907.91,146,2026-03-28
NL-DE,Truck,1891.5,1496,2026-03-15
NL-DE,Rail,1645.24,1070,2026-03-25
DE-FR,Rail,2890.91,1531,2026-03-09
DE-FR,Truck,1054.76,775,2026-03-11
NL-FR,Air,4120.11,639,2026-03-09
NL-IT,Truck,2448.79,601,2026-03-20
DE-FR,Truck,1119.06,560,2026-03-09
NL-IT,Air,2975.7,1376,2026-03-31
FR-ES,Rail,1716.61,1938,2026-03-12
NL-FR,Rail,982.05,1374,2026-03-24
NL-DE,Truck,552.73,473,2026-04-05
NL-DE,Rail,2972.01,1902,2026-03-16
NL-IT,Rail,1637.96,894,2026-03-20
NL-DE,Truck,627.02,1222,2026-04-05
DE-FR,Truck,612.75,808,2026-04-01
FR-ES,Rail,2808.96,1688,2026-04-01
NL-DE,Rail,2669.22,1208,2026-03-23
NL-IT,Truck,758.32,784,2026-03-24
NL-DE,Air,3371.86,587,2026-04-04
NL-FR,Air,3612.03,349,2026-04-04
NL-IT,Rail,2499.1,1429,2026-03-25
FR-ES,Truck,1603.81,1089,2026-03-07
FR-ES,Sea,2210.45,952,2026-03-23
DE-FR,Rail,2571.1,837,2026-03-31
NL-IT,Rail,2097.82,534,2026-04-04
NL-DE,Air,5284.68,1083,2026-03-22
NL-FR,Air,3787.76,1686,2026-03-20
NL-FR,Truck,2092.94,283,2026-03-20
DE-FR,Rail,2491.62,1083,2026-04-01
NL-FR,Rail,2165.77,304,2026-03-07
NL-IT,Sea,2738.95,210,2026-03-12
NL-IT,Sea,1384.14,1497,2026-03-21
DE-FR,Air,3080.4,1819,2026-03-12
NL-IT,Sea,3622.95,192,2026-03-19
NL-IT,Truck,884.58,1912,2026-04-01
FR-ES,Rail,1412.9,633,2026-03-16
NL-DE,Rail,1065.4,623,2026-03-11
NL-FR,Rail,1601.39,1936,2026-03-10
NL-DE,Truck,684.58,313,2026-03-22
FR-ES,Air,7241.47,436,2026-03-11
NL-DE,Air,6837.21,1990,2026-03-08
NL-FR,Air,3256.1,127,2026-03-14
FR-ES,Rail,1817.58,765,2026-03-23
NL-IT,Sea,1757.31,1746,2026-03-14
DE-FR,Rail,2449.16,1397,2026-03-11
NL-DE,Rail,1971.76,1754,2026-04-01
NL-DE,Air,2120.43,1396,2026-03-30
DE-FR,Rail,1520.49,636,2026-03-20
DE-FR,Truck,1687.18,1517,2026-04-03
DE-FR,Truck,1496.88,210,2026-03-15
NL-DE,Rail,2027.03,847,2026-03-18
DE-FR,Rail,1424.31,1405,2026-04-04
FR-ES,Sea,2068.29,1864,2026-03-12
FR-ES,Truck,515.07,1833,2026-03-31
NL-IT,Sea,2463.43,1569,2026-03-07
NL-DE,Rail,1181.42,858,2026-04-03
FR-ES,Sea,1054.73,647,2026-03-13
DE-FR,Sea,3689.83,1855,2026-03-26
NL-DE,Air,2031.8,1729,2026-03-13
NL-DE,Rail,2271.02,293,2026-03-22
NL-IT,Sea,2714.84,272,2026-03-25
DE-FR,Truck,874.09,1910,2026-03-17
DE-FR,Truck,1972.49,658,2026-04-05
FR-ES,Rail,2489.11,238,2026-04-02
NL-DE,Truck,1565.18,1001,2026-03-19
NL-FR,Air,2806.49,271,2026-04-04
DE-FR,Truck,1869.14,420,2026-04-01
NL-IT,Truck,2020.46,1010,2026-03-13
NL-DE,Rail,1706.05,1704,2026-03-07
FR-ES,Air,7790.16,475,2026-03-26
NL-IT,Truck,910.0,1670,2026-04-05
DE-FR,Air,6329.58,1955,2026-03-08
FR-ES,Air,6967.65,369,2026-03-09
FR-ES,Rail,2615.29,104,2026-03-18
DE-FR,Sea,2901.28,700,2026-03-24
NL-IT,Rail,1663.38,1760,2026-03-31
NL-DE,Truck,1995.22,764,2026-03-20
NL-FR,Truck,1282.96,920,2026-03-29
NL-IT,Air,5745.43,297,2026-03-31
NL-FR,Sea,2883.12,1571,2026-03-17
NL-DE,Sea,3635.89,577,2026-03-30
NL-DE,Sea,3365.79,1220,2026-03-08
NL-DE,Truck,2057.14,1377,2026-04-02
FR-ES,Rail,2370.94,1758,2026-03-27
FR-ES,Truck,705.83,1282,2026-03-22
DE-FR,Air,4742.0,1819,2026-03-22
FR-ES,Truck,1579.72,146,2026-04-02
NL-IT,Air,6631.29,194,2026-03-18
NL-FR,Sea,2696.53,1934,2026-03-10
NL-FR,Truck,2153.6,971,2026-03-31
NL-FR,Rail,1681.87,401,2026-03-26
NL-FR,Air,7471.11,1084,2026-04-05
NL-IT,Sea,3178.29,1583,2026-03-25
FR-ES,Air,7512.5,987,2026-04-01
NL-DE,Air,5908.2,703,2026-03-11
FR-ES,Truck,1348.26,1585,2026-03-29
NL-DE,Truck,2351.14,913,2026-04-01
DE-FR,Truck,831.04,1305,2026-03-14
NL-IT,Truck,1164.29,1035,2026-03-22
FR-ES,Truck,1258.61,1260,2026-03-27
NL-FR,Air,6726.74,1036,2026-04-03
NL-FR,Sea,2243.51,174,2026-03-31
NL-IT,Rail,1824.54,517,2026-03-10
NL-IT,Truck,1674.14,975,2026-03-10
NL-DE,Sea,1744.68,1303,2026-03-31
NL-DE,Truck,2329.69,384,2026-03-26
NL-FR,Rail,1284.21,1592,2026-03-20
NL-DE,Sea,3926.62,788,2026-03-17
FR-ES,Rail,2693.39,1483,2026-03-20
FR-ES,Sea,2786.16,1089,2026-03-14
NL-IT,Sea,1629.72,1441,2026-03-07
FR-ES,Truck,1749.95,385,2026-03-21
NL-DE,Air,5524.72,689,2026-03-18
DE-FR,Sea,2582.94,1236,2026-03-19
DE-FR,Rail,2031.21,1387,2026-03-08
NL-FR,Sea,3838.35,1581,2026-03-18
NL-DE,Rail,1958.47,186,2026-03-14
FR-ES,Air,7038.73,1131,2026-04-05
NL-IT,Truck,943.94,1890,2026-03-08
FR-ES,Air,2624.65,678,2026-03-18
NL-FR,Truck,1613.44,1926,2026-03-13
NL-IT,Rail,2127.03,551,2026-03-17
NL-FR,Truck,782.16,106,2026-03-27
FR-ES,Sea,3207.71,246,2026-03-21
FR-ES,Truck,2252.89,799,2026-03-19
FR-ES,Rail,2803.37,1646,2026-03-27
DE-FR,Sea,2139.08,1655,2026-04-01
NL-DE,Truck,1318.82,1349,2026-03-16
NL-FR,Air,3317.06,953,2026-03-25
NL-IT,Air,2685.43,1850,2026-03-20
NL-DE,Rail,849.43,651,2026-04-04
NL-DE,Truck,1305.1,1881,2026-03-15
NL-FR,Sea,2265.11,541,2026-03-08
FR-ES,Truck,1882.44,174,2026-03-31
NL-FR,Rail,1965.26,1479,2026-03-28
FR-ES,Rail,947.79,1276,2026-03-31
FR-ES,Rail,2384.45,1997,2026-03-15
NL-IT,Truck,1027.37,267,2026-04-04
FR-ES,Air,5798.59,554,2026-03-27
FR-ES,Truck,2176.21,1599,2026-03-07
NL-FR,Rail,1728.48,1119,2026-03-15
FR-ES,Sea,1553.11,1415,2026-03-18
NL-IT,Rail,950.15,1419,2026-03-26
NL-IT,Air,7493.08,906,2026-03-29
FR-ES,Sea,3847.92,1435,2026-04-05
DE-FR,Rail,868.6,1590,2026-04-03
NL-IT,Air,2308.55,464,2026-03-26
NL-FR,Rail,2171.33,1624,2026-03-28
NL-DE,Truck,1203.08,1340,2026-03-08
NL-DE,Sea,2794.86,1162,2026-04-03
DE-FR,Sea,1233.3,271,2026-03-18
DE-FR,Rail,811.56,374,2026-04-01
NL-DE,Air,6844.58,1056,2026-03-20
NL-DE,Rail,2319.23,1938,2026-03-25
NL-IT,Rail,2907.98,1899,2026-03-16
NL-DE,Truck,1817.57,565,2026-03-12
NL-FR,Air,3327.26,588,2026-03-24
NL-FR,Rail,886.74,1139,2026-03-30
FR-ES,Truck,861.15,1209,2026-03-11
FR-ES,Sea,1101.84,1642,2026-03-28
NL-FR,Sea,3773.19,926,2026-03-14
DE-FR,Truck,1448.43,1034,2026-04-03
NL-DE,Rail,1949.36,1649,2026-03-13
FR-ES,Sea,2682.03,1221,2026-04-03
NL-FR,Truck,1560.53,282,2026-03-14
NL-DE,Air,5434.57,1639,2026-03-08
NL-FR,Rail,1501.26,1284,2026-03-21
NL-FR,Truck,1731.73,410,2026-04-03
NL-IT,Rail,2978.75,858,2026-03-24
NL-IT,Truck,1267.93,1162,2026-03-23
NL-DE,Air,2316.1,576,2026-03-07
DE-FR,Truck,1459.56,1362,2026-03-12
DE-FR,Rail,1001.74,488,2026-04-05
FR-ES,Rail,807.36,1265,2026-03-13
NL-FR,Rail,2676.21,392,2026-03-12
NL-DE,Air,2107.24,498,2026-03-20
DE-FR,Truck,1859.29,286,2026-03-11
NL-IT,Truck,2072.69,1503,2026-03-31
NL-IT,Sea,3637.35,1185,2026-03-24
DE-FR,Rail,1167.47,871,2026-03-10
FR-ES,Air,7656.39,1366,2026-03-24
NL-FR,Rail,1307.47,924,2026-03-11
NL-IT,Truck,872.88,1897,2026-04-01
NL-DE,Truck,1759.56,1644,2026-04-03
FR-ES,Air,7969.45,1613,2026-04-03
NL-DE,Rail,1880.61,315,2026-04-03
FR-ES,Air,4780.28,1243,2026-03-08
DE-FR,Sea,1104.6,1480,2026-04-04
NL-IT,Sea,3632.38,734,2026-03-09
NL-DE,Truck,2277.5,837,2026-03-25
NL-DE,Rail,2580.94,1384,2026-03-26
DE-FR,Sea,1844.17,1074,2026-03-31
NL-FR,Air,6174.29,1013,2026-03-31
FR-ES,Truck,940.37,895,2026-04-01
FR-ES,Truck,2202.41,323,2026-03-07
NL-IT,Truck,2313.03,1691,2026-03-29
FR-ES,Rail,1996.31,1872,2026-04-05
DE-FR,Rail,1946.77,452,2026-03-10
FR-ES,Sea,1481.2,462,2026-03-24
DE-FR,Truck,2360.18,290,2026-03-10
FR-ES,Rail,1216.29,1870,2026-03-24
NL-FR,Rail,1824.03,1517,2026-03-26
NL-FR,Truck,1987.02,455,2026-04-04
DE-FR,Rail,2464.6,394,2026-04-04
NL-IT,Air,2504.59,1236,2026-03-28
NL-FR,Truck,731.69,799,2026-03-13
NL-IT,Truck,2059.69,513,2026-03-30
NL-FR,Rail,1750.93,1954,2026-03-09
FR-ES,Air,3076.98,1088,2026-03-15
DE-FR,Air,3042.52,1365,2026-04-02
DE-FR,Sea,1499.13,1017,2026-03-20
NL-FR,Rail,1841.86,1243,2026-03-10
FR-ES,Rail,2717.38,815,2026-04-02
FR-ES,Sea,1390.26,559,2026-03-30
NL-IT,Truck,544.25,558,2026-03-11
NL-FR,Sea,2337.71,1408,2026-04-02
NL-DE,Truck,704.39,138,2026-03-22
NL-IT,Sea,3477.76,983,2026-04-04
NL-IT,Sea,3041.5,1662,2026-04-03
DE-FR,Truck,2426.47,1088,2026-03-16
NL-IT,Sea,2259.18,183,2026-03-31
NL-IT,Sea,1822.65,1630,2026-04-05
NL-FR,Rail,2767.02,1286,2026-03-20
NL-FR,Truck,1929.85,1394,2026-03-25
DE-FR,Air,5259.4,529,2026-03-12
NL-IT,Truck,682.33,1809,2026-03-19
FR-ES,Air,2107.17,1059,2026-03-25
NL-FR,Truck,2323.67,998,2026-03-17
NL-DE,Rail,1816.61,1359,2026-03-17
NL-DE,Air,5350.48,1055,2026-03-15
NL-FR,Rail,1517.04,1467,2026-03-29
NL-DE,Sea,3953.05,171,2026-03-16
NL-FR,Rail,2297.0,1489,2026-03-22
NL-IT,Sea,3165.66,1424,2026-03-12
NL-DE,Truck,2405.3,1515,2026-03-26
NL-DE,Rail,2448.16,500,2026-03-25
DE-FR,Truck,1641.81,1783,2026-04-05
NL-FR,Rail,2506.77,1988,2026-04-04
FR-ES,Truck,675.73,688,2026-03-17
NL-FR,Rail,1673.23,1289,2026-03-30
NL-FR,Rail,2316.82,242,2026-04-04
NL-DE,Rail,1168.46,1995,2026-03-26
NL-DE,Truck,1912.95,873,2026-03-28
NL-DE,Sea,2838.83,1493,2026-03-25
DE-FR,Air,7684.1,1441,2026-03-17
NL-IT,Rail,2146.97,1207,2026-03-21
NL-FR,Air,5584.86,994,2026-04-03
NL-FR,Sea,2579.21,113,2026-03-26
DE-FR,Rail,932.77,1008,2026-03-12
NL-IT,Truck,1731.48,1690,2026-03-23
FR-ES,Air,6465.67,1754,2026-03-16
DE-FR,Sea,1130.98,1717,2026-03-31
FR-ES,Rail,2237.18,1475,2026-03-13
DE-FR,Truck,1486.55,1837,2026-03-18
NL-DE,Sea,1661.68,1002,2026-03-25
NL-FR,Truck,2236.55,1056,2026-03-13
DE-FR,Air,5772.59,1487,2026-03-07
NL-FR,Air,5029.07,1812,2026-03-18
NL-FR,Air,5528.35,1240,2026-04-04
NL-FR,Air,5637.13,1031,2026-03-31
NL-IT,Sea,1830.48,285,2026-03-15
FR-ES,Truck,921.32,629,2026-03-29
NL-IT,Truck,1966.23,893,2026-03-29
NL-FR,Air,7454.2,1039,2026-03-23
FR-ES,Rail,1927.75,936,2026-03-31
DE-FR,Truck,1374.33,480,2026-03-22
NL-DE,Rail,1932.6,1207,2026-04-04
NL-IT,Sea,1490.57,1980,2026-03-12
FR-ES,Air,3548.8,360,2026-04-05
DE-FR,Air,5592.28,400,2026-03-14
NL-FR,Sea,1704.02,1830,2026-03-15
FR-ES,Rail,1527.96,1901,2026-03-25
FR-ES,Rail,1120.66,1399,2026-03-29
NL-DE,Sea,3845.75,675,2026-03-15
NL-IT,Air,4276.15,786,2026-04-01
NL-DE,Air,4847.79,1755,2026-03-25
DE-FR,Air,5512.13,1374,2026-03-08
NL-FR,Air,3618.5,1068,2026-04-01
NL-DE,Air,2310.18,218,2026-04-03
NL-IT,Rail,1196.02,936,2026-04-05
DE-FR,Truck,1669.34,589,2026-03-17
NL-IT,Truck,1459.79,1934,2026-03-07
FR-ES,Rail,1510.89,1308,2026-03-30
NL-IT,Sea,1762.67,1301,2026-03-14
FR-ES,Air,5193.47,407,2026-03-21
NL-FR,Rail,1244.08,1464,2026-04-05
FR-ES,Sea,3017.81,1618,2026-03-15
NL-FR,Sea,3077.88,526,2026-03-27
NL-DE,Rail,1893.78,1661,2026-03-29
DE-FR,Sea,2711.83,1086,2026-03-29
NL-DE,Truck,1879.05,1124,2026-03-18
FR-ES,Sea,2976.66,1427,2026-04-01
DE-FR,Truck,713.19,1109,2026-03-31
NL-DE,Sea,3931.52,1212,2026-03-21
FR-ES,Truck,2064.77,1282,2026-03-28
FR-ES,Sea,3635.55,1225,2026-03-23
NL-FR,Air,6005.56,1717,2026-03-24
FR-ES,Truck,1134.39,1454,2026-04-05
NL-DE,Air,3781.22,824,2026-03-22
FR-ES,Truck,1232.92,927,2026-03-08
NL-DE,Truck,1692.97,390,2026-03-25
NL-IT,Rail,961.03,1067,2026-03-23
NL-DE,Rail,2162.88,1126,2026-03-16
NL-FR,Rail,2893.25,553,2026-03-09
NL-DE,Truck,2127.53,111,2026-04-01
DE-FR,Rail,1958.57,1863,2026-03-22
NL-FR,Sea,3294.65,463,2026-03-10
NL-IT,Sea,1054.7,1114,2026-03-21
NL-DE,Sea,1213.84,1927,2026-03-26
FR-ES,Sea,1180.8,240,2026-03-15
FR-ES,Sea,1304.26,1063,2026-03-21
NL-IT,Truck,1069.75,1792,2026-03-22
NL-FR,Air,5234.97,1543,2026-03-07
FR-ES,Rail,1679.79,743,2026-03-11
DE-FR,Truck,1544.96,1709,2026-03-30
NL-DE,Truck,869.17,544,2026-03-27
DE-FR,Air,7777.56,1898,2026-03-15
FR-ES,Truck,1247.02,1485,2026-03-22
FR-ES,Sea,1007.75,825,2026-03-09
NL-FR,Truck,2087.49,1083,2026-03-11
NL-DE,Truck,2179.72,1277,2026-03-10
NL-IT,Truck,1104.12,1735,2026-03-09
NL-FR,Sea,3002.65,1014,2026-04-02
NL-FR,Rail,1793.89,680,2026-03-22
NL-FR,Truck,1973.75,772,2026-03-14
FR-ES,Truck,691.43,1778,2026-04-03
NL-IT,Air,3237.12,749,2026-03-28
NL-DE,Rail,2190.43,1377,2026-03-12
FR-ES,Rail,1403.99,1781,2026-04-03
NL-DE,Rail,1742.04,1876,2026-03-26
NL-IT,Sea,2023.27,1703,2026-03-11
FR-ES,Rail,2072.45,1105,2026-04-02
DE-FR,Air,5871.74,172,2026-03-29
NL-DE,Truck,953.31,1098,2026-04-02
NL-FR,Truck,1538.12,1055,2026-04-01
FR-ES,Air,3402.27,875,2026-03-31
DE-FR,Air,5905.26,480,2026-03-11
NL-FR,Sea,1570.97,826,2026-03-25
NL-IT,Rail,1598.48,453,2026-03-14
DE-FR,Rail,1533.85,1565,2026-04-02
NL-DE,Truck,850.61,410,2026-03-21
NL-DE,Rail,1012.69,154,2026-03-21
DE-FR,Air,4085.43,1771,2026-03-17
FR-ES,Sea,3781.53,1402,2026-03-09
FR-ES,Sea,1457.25,1995,2026-03-13
FR-ES,Air,3461.94,1207,2026-03-31
NL-DE,Rail,996.07,1112,2026-03-21
NL-FR,Air,6692.17,608,2026-03-23
NL-FR,Air,3818.77,848,2026-04-04
NL-IT,Truck,675.29,860,2026-03-28
DE-FR,Truck,1111.05,1825,2026-03-14
NL-IT,Rail,2121.31,505,2026-03-26
FR-ES,Sea,3976.47,343,2026-03-27
NL-FR,Air,7583.57,777,2026-03-19
NL-FR,Truck,1261.25,1793,2026-03-23
DE-FR,Rail,1110.81,1649,2026-03-28
NL-FR,Sea,2208.94,958,2026-04-04
DE-FR,Sea,2038.3,1891,2026-03-27
FR-ES,Truck,1650.33,921,2026-04-05
NL-DE,Air,5638.23,1233,2026-03-21
DE-FR,Rail,2624.53,998,2026-04-03
FR-ES,Truck,2150.4,1240,2026-04-04
DE-FR,Air,4869.4,636,2026-03-22
DE-FR,Air,2479.79,1923,2026-03-09
DE-FR,Truck,2372.9,1781,2026-03-08
FR-ES,Air,7108.69,142,2026-03-07
NL-IT,Rail,2230.44,386,2026-03-18
NL-FR,Truck,2061.52,444,2026-04-04
FR-ES,Rail,2988.71,1179,2026-03-22
NL-DE,Truck,1360.67,1222,2026-03-16
NL-IT,Truck,2065.39,362,2026-03-21
DE-FR,Air,2373.75,1895,2026-03-30
DE-FR,Air,6883.82,919,2026-03-08
NL-FR,Air,5934.34,1186,2026-04-01
FR-ES,Air,4428.79,582,2026-03-30
FR-ES,Sea,2242.39,697,2026-04-01
NL-IT,Rail,1346.88,504,2026-03-15
NL-FR,Rail,1371.59,1594,2026-03-11
NL-DE,Air,5211.86,1136,2026-03-16
FR-ES,Rail,1330.64,1816,2026-03-19
DE-FR,Truck,2419.15,564,2026-04-03
FR-ES,Truck,1595.92,407,2026-03-14
DE-FR,Truck,1476.48,645,2026-03-17
NL-IT,Air,6424.14,1868,2026-03-08
NL-FR,Air,7157.39,120,2026-03-27
NL-DE,Truck,766.29,1243,2026-03-28
DE-FR,Truck,1876.27,1683,2026-03-08
NL-FR,Truck,2181.74,331,2026-03-16
NL-FR,Air,5823.21,875,2026-03-10
NL-DE,Rail,2200.67,1055,2026-03-14
FR-ES,Air,7294.76,1539,2026-03-25
FR-ES,Truck,1386.55,1323,2026-03-12
FR-ES,Sea,3148.97,1558,2026-03-13
FR-ES,Sea,1036.33,247,2026-03-16
DE-FR,Air,4119.51,1774,2026-03-17
NL-IT,Sea,3826.95,639,2026-03-18
FR-ES,Sea,2236.39,449,2026-03-15
NL-FR,Air,2412.28,1673,2026-03-22
NL-DE,Air,5087.95,1346,2026-03-29
NL-DE,Air,3367.05,1061,2026-03-22
DE-FR,Rail,822.94,1505,2026-04-02
NL-DE,Rail,952.36,477,2026-03-14
NL-FR,Rail,2770.79,248,2026-04-02
NL-FR,Air,4846.02,473,2026-03-24
DE-FR,Truck,2340.59,1349,2026-03-26
NL-FR,Rail,1544.19,282,2026-03-28
DE-FR,Truck,1251.99,1084,2026-03-19
DE-FR,Rail,1402.34,1848,2026-03-25
NL-DE,Air,4976.29,987,2026-03-16
NL-DE,Sea,3014.36,879,2026-03-28
FR-ES,Sea,1756.72,1121,2026-03-16
DE-FR,Rail,2652.4,1859,2026-03-26
NL-IT,Air,5270.16,1468,2026-03-15
NL-FR,Air,2259.04,869,2026-03-08
NL-IT,Truck,1951.96,1685,2026-03-22
DE-FR,Sea,1452.03,560,2026-03-15
NL-DE,Sea,3274.56,795,2026-04-03
FR-ES,Sea,1317.79,1153,2026-03-30
FR-ES,Air,5817.75,1234,2026-03-29
NL-DE,Rail,2027.69,1999,2026-04-01
NL-IT,Sea,3975.43,1347,2026-03-27
NL-FR,Rail,1248.88,1528,2026-03-23
NL-FR,Sea,2844.93,1036,2026-03-21
DE-FR,Truck,1577.39,697,2026-03-27
DE-FR,Rail,2647.92,308,2026-03-23
FR-ES,Rail,2449.0,1500,2026-03-17
NL-IT,Sea,3268.79,1224,2026-03-11
DE-FR,Air,4312.26,1143,2026-03-27
NL-FR,Air,3303.25,1928,2026-03-31
FR-ES,Truck,503.76,301,2026-03-31
NL-DE,Rail,1582.08,1040,2026-03-17
DE-FR,Truck,1676.4,1344,2026-03-23
NL-FR,Sea,1194.56,1178,2026-03-17
