route_id,incident_type,severity,timestamp
DE-FR,theft,high,2026-04-05 05:24:18
NL-IT,delay,high,2026-04-05 04:12:18
NL-DE,theft,high,2026-04-04 20:24:18
NL-FR,delay,high,2026-04-05 02:10:18
NL-IT,delay,high,2026-04-05 08:40:18
FR-ES,delay,high,2026-04-05 06:38:18
NL-DE,delay,medium,2026-04-05 14:38:18
DE-FR,delay,low,2026-04-04 18:22:18
NL-IT,customs_issue,low,2026-04-05 02:28:18
NL-IT,theft,high,2026-04-04 22:34:18
NL-IT,damage,high,2026-04-05 13:49:18
FR-ES,delay,medium,2026-04-05 11:15:18
FR-ES,theft,medium,2026-04-05 05:07:18
FR-ES,delay,high,2026-04-05 08:05:18
NL-FR,damage,medium,2026-04-04 18:01:18
DE-FR,customs_issue,high,2026-04-05 08:23:18
NL-IT,delay,high,2026-04-04 20:14:18
NL-IT,theft,high,2026-04-05 07:22:18
NL-FR,delay,high,2026-04-04 21:20:18
DE-FR,delay,high,2026-04-05 17:25:18
FR-ES,delay,low,2026-04-04 21:01:18
NL-IT,delay,low,2026-04-05 01:54:18
DE-FR,delay,high,2026-04-04 20:38:18
NL-IT,damage,high,2026-04-04 19:08:18
NL-IT,delay,low,2026-04-05 11:42:18
NL-DE,delay,medium,2026-04-05 05:13:18
NL-DE,theft,high,2026-04-05 03:14:18
NL-DE,damage,high,2026-04-04 22:05:18
NL-DE,customs_issue,high,2026-04-05 05:53:18
NL-FR,delay,low,2026-04-05 06:34:18
FR-ES,customs_issue,high,2026-04-05 08:18:18
NL-DE,damage,medium,2026-04-05 05:51:18
FR-ES,delay,high,2026-04-04 18:03:18
NL-IT,damage,high,2026-04-04 17:56:18
NL-DE,delay,low,2026-04-05 13:38:18
NL-IT,theft,medium,2026-04-04 19:48:18
NL-DE,theft,high,2026-04-05 12:27:18
FR-ES,delay,low,2026-04-05 00:30:18
NL-DE,delay,low,2026-04-05 11:43:18
DE-FR,delay,low,2026-04-05 09:21:18
NL-FR,delay,low,2026-04-05 00:50:18
NL-DE,delay,low,2026-04-05 11:08:18
NL-IT,delay,medium,2026-04-05 16:22:18
FR-ES,delay,low,2026-04-05 13:11:18
DE-FR,damage,high,2026-04-05 01:40:18
NL-FR,damage,high,2026-04-05 14:23:18
FR-ES,delay,medium,2026-04-05 10:42:18
FR-ES,customs_issue,high,2026-04-04 21:28:18
NL-IT,theft,medium,2026-04-04 23:47:18
FR-ES,delay,low,2026-04-05 16:33:18
FR-ES,customs_issue,high,2026-04-05 12:05:18
FR-ES,delay,medium,2026-04-05 15:31:18
FR-ES,damage,high,2026-04-05 17:04:18
NL-FR,delay,low,2026-04-05 08:37:18
FR-ES,damage,high,2026-04-05 06:35:18
FR-ES,delay,high,2026-04-05 10:25:18
FR-ES,damage,high,2026-04-05 07:26:18
FR-ES,delay,low,2026-04-05 07:34:18
NL-FR,theft,low,2026-04-05 09:24:18
NL-IT,damage,medium,2026-04-05 01:14:18
DE-FR,theft,high,2026-04-04 17:50:18
FR-ES,delay,high,2026-04-05 11:27:18
NL-DE,delay,medium,2026-04-05 12:32:18
DE-FR,damage,medium,2026-04-05 07:55:18
DE-FR,theft,low,2026-04-05 07:13:18
FR-ES,delay,low,2026-04-05 14:29:18
NL-DE,theft,high,2026-04-04 23:43:18
FR-ES,customs_issue,low,2026-04-05 06:45:18
NL-IT,delay,low,2026-04-05 01:00:18
DE-FR,delay,medium,2026-04-05 13:28:18
FR-ES,delay,low,2026-04-05 07:10:18
FR-ES,delay,medium,2026-04-05 07:36:18
NL-IT,delay,high,2026-04-05 08:09:18
NL-DE,delay,high,2026-04-05 04:08:18
NL-DE,theft,high,2026-04-05 13:11:18
NL-IT,delay,medium,2026-04-04 20:06:18
FR-ES,theft,high,2026-04-05 11:59:18
FR-ES,delay,low,2026-04-04 18:12:18
NL-DE,damage,medium,2026-04-04 17:31:18
NL-FR,theft,medium,2026-04-05 12:02:18
DE-FR,delay,medium,2026-04-05 10:51:18
NL-IT,delay,low,2026-04-05 12:00:18
DE-FR,delay,high,2026-04-05 03:49:18
FR-ES,customs_issue,medium,2026-04-04 21:59:18
DE-FR,theft,low,2026-04-05 12:59:18
FR-ES,delay,high,2026-04-05 13:50:18
NL-DE,customs_issue,medium,2026-04-05 08:06:18
DE-FR,damage,low,2026-04-04 22:57:18
DE-FR,delay,high,2026-04-05 13:24:18
NL-FR,delay,low,2026-04-05 06:12:18
FR-ES,delay,high,2026-04-04 22:18:18
NL-IT,customs_issue,high,2026-04-05 06:35:18
NL-IT,damage,high,2026-04-04 19:46:18
FR-ES,delay,low,2026-04-05 09:53:18
NL-DE,delay,low,2026-04-05 00:25:18
DE-FR,delay,low,2026-04-04 17:51:18
DE-FR,delay,medium,2026-04-04 20:40:18
NL-FR,delay,high,2026-04-05 09:36:18
NL-FR,theft,high,2026-04-05 12:55:18
NL-IT,theft,high,2026-04-05 13:06:18
NL-FR,delay,low,2026-04-05 04:27:18
NL-FR,theft,medium,2026-04-04 20:00:18
DE-FR,damage,high,2026-04-04 22:11:18
NL-FR,damage,low,2026-04-05 06:22:18
NL-IT,delay,low,2026-04-05 11:57:18
NL-IT,delay,high,2026-04-05 10:49:18
NL-FR,damage,medium,2026-04-05 01:08:18
FR-ES,damage,low,2026-04-04 19:26:18
NL-FR,damage,medium,2026-04-05 00:31:18
DE-FR,damage,low,2026-04-04 22:56:18
NL-IT,delay,high,2026-04-05 01:13:18
DE-FR,delay,medium,2026-04-05 00:26:18
NL-DE,damage,low,2026-04-05 01:17:18
NL-IT,theft,medium,2026-04-05 05:16:18
NL-IT,theft,medium,2026-04-05 11:26:18
DE-FR,theft,low,2026-04-05 02:56:18
NL-IT,theft,low,2026-04-05 16:46:18
FR-ES,delay,low,2026-04-04 19:34:18
NL-DE,damage,medium,2026-04-05 04:11:18
DE-FR,delay,high,2026-04-05 15:29:18
NL-DE,delay,medium,2026-04-04 21:18:18
NL-IT,delay,medium,2026-04-05 10:02:18
DE-FR,delay,high,2026-04-05 07:40:18
DE-FR,delay,high,2026-04-05 08:50:18
FR-ES,damage,high,2026-04-05 08:35:18
NL-FR,theft,low,2026-04-04 19:18:18
DE-FR,delay,high,2026-04-05 04:49:18
NL-IT,damage,low,2026-04-05 01:30:18
NL-DE,delay,high,2026-04-04 23:32:18
NL-FR,delay,medium,2026-04-05 06:58:18
NL-DE,delay,high,2026-04-05 08:11:18
FR-ES,theft,high,2026-04-05 02:41:18
DE-FR,delay,medium,2026-04-05 10:45:18
NL-DE,delay,low,2026-04-05 08:12:18
NL-DE,delay,low,2026-04-05 09:31:18
NL-IT,damage,high,2026-04-05 00:20:18
FR-ES,delay,low,2026-04-05 07:45:18
DE-FR,delay,medium,2026-04-05 16:38:18
DE-FR,delay,low,2026-04-05 08:29:18
NL-IT,delay,high,2026-04-05 07:12:18
NL-IT,delay,high,2026-04-05 03:06:18
NL-FR,theft,low,2026-04-05 14:50:18
NL-FR,theft,medium,2026-04-04 20:56:18
NL-DE,delay,low,2026-04-05 05:27:18
DE-FR,delay,high,2026-04-05 08:08:18
DE-FR,delay,low,2026-04-04 23:52:18
DE-FR,damage,high,2026-04-05 07:38:18
NL-IT,delay,low,2026-04-05 00:37:18
DE-FR,delay,high,2026-04-05 08:34:18
NL-FR,delay,low,2026-04-05 03:41:18
NL-DE,damage,high,2026-04-05 11:58:18
NL-IT,delay,medium,2026-04-04 18:03:18
FR-ES,delay,high,2026-04-05 11:17:18
FR-ES,delay,low,2026-04-04 18:30:18
FR-ES,theft,medium,2026-04-05 08:39:18
NL-FR,damage,low,2026-04-04 23:54:18
FR-ES,delay,low,2026-04-04 18:44:18
FR-ES,delay,low,2026-04-05 16:02:18
DE-FR,delay,high,2026-04-05 01:57:18
NL-IT,damage,medium,2026-04-05 05:05:18
NL-IT,theft,medium,2026-04-05 08:12:18
NL-IT,damage,high,2026-04-05 03:30:18
NL-IT,delay,low,2026-04-05 03:15:18
NL-FR,customs_issue,low,2026-04-05 06:03:18
NL-FR,delay,high,2026-04-04 20:16:18
NL-IT,delay,high,2026-04-04 20:32:18
FR-ES,theft,low,2026-04-05 11:28:18
NL-DE,delay,medium,2026-04-05 17:14:18
DE-FR,damage,medium,2026-04-05 11:00:18
DE-FR,delay,medium,2026-04-05 10:32:18
NL-IT,customs_issue,high,2026-04-05 02:46:18
NL-DE,damage,medium,2026-04-05 06:17:18
FR-ES,customs_issue,low,2026-04-05 02:32:18
FR-ES,delay,medium,2026-04-05 11:19:18
NL-IT,theft,low,2026-04-05 06:42:18
DE-FR,damage,medium,2026-04-04 20:08:18
NL-FR,delay,medium,2026-04-05 15:55:18
NL-DE,damage,low,2026-04-05 17:17:18
NL-IT,delay,low,2026-04-05 15:55:18
NL-IT,damage,low,2026-04-04 21:40:18
NL-IT,damage,high,2026-04-05 06:36:18
NL-DE,delay,high,2026-04-04 22:05:18
DE-FR,theft,medium,2026-04-05 07:55:18
NL-FR,damage,low,2026-04-05 08:50:18
NL-DE,delay,high,2026-04-04 20:38:18
DE-FR,delay,medium,2026-04-05 00:04:18
FR-ES,theft,medium,2026-04-05 15:17:18
FR-ES,delay,low,2026-04-05 03:40:18
FR-ES,delay,medium,2026-04-04 20:03:18
FR-ES,theft,medium,2026-04-04 21:36:18
FR-ES,delay,medium,2026-04-05 03:15:18
DE-FR,delay,high,2026-04-04 21:05:18
NL-IT,delay,low,2026-04-05 07:29:18
FR-ES,theft,low,2026-04-05 15:00:18
NL-IT,damage,low,2026-04-05 04:27:18
NL-DE,delay,low,2026-04-05 08:38:18
NL-DE,damage,medium,2026-04-04 23:09:18
DE-FR,delay,low,2026-04-05 13:53:18
NL-FR,damage,high,2026-04-05 10:15:18
DE-FR,damage,low,2026-04-04 19:53:18
NL-IT,delay,high,2026-04-04 22:14:18
DE-FR,delay,low,2026-04-05 07:09:18
NL-DE,delay,medium,2026-04-05 09:50:18
FR-ES,damage,high,2026-04-05 08:24:18
NL-DE,damage,low,2026-04-05 01:21:18
NL-IT,delay,low,2026-04-05 05:32:18
NL-DE,delay,low,2026-04-04 18:01:18
FR-ES,delay,medium,2026-04-05 05:51:18
NL-DE,damage,high,2026-04-05 10:43:18
NL-FR,delay,high,2026-04-04 22:59:18
DE-FR,delay,medium,2026-04-05 05:19:18
NL-DE,damage,medium,2026-04-04 23:24:18
FR-ES,delay,medium,2026-04-05 10:40:18
NL-IT,theft,medium,2026-04-05 05:01:18
NL-FR,delay,low,2026-04-05 06:28:18
FR-ES,damage,low,2026-04-05 02:04:18
FR-ES,customs_issue,medium,2026-04-05 14:38:18
NL-DE,delay,medium,2026-04-05 09:34:18
DE-FR,customs_issue,medium,2026-04-05 03:54:18
NL-IT,delay,medium,2026-04-04 21:38:18
NL-DE,delay,medium,2026-04-04 17:39:18
NL-IT,customs_issue,low,2026-04-05 01:06:18
DE-FR,theft,high,2026-04-05 05:44:18
FR-ES,customs_issue,high,2026-04-05 04:33:18
NL-FR,delay,low,2026-04-05 06:13:18
NL-IT,damage,high,2026-04-05 12:40:18
DE-FR,theft,high,2026-04-04 18:33:18
NL-DE,theft,medium,2026-04-05 07:22:18
FR-ES,delay,low,2026-04-04 19:23:18
NL-FR,theft,low,2026-04-05 01:17:18
FR-ES,theft,high,2026-04-05 06:50:18
DE-FR,delay,medium,2026-04-04 17:52:18
FR-ES,theft,low,2026-04-04 20:15:18
DE-FR,theft,medium,2026-04-04 18:35:18
NL-IT,delay,high,2026-04-05 08:56:18
NL-DE,theft,medium,2026-04-05 07:49:18
NL-DE,theft,high,2026-04-05 10:16:18
FR-ES,theft,high,2026-04-05 01:27:18
NL-DE,damage,medium,2026-04-05 12:30:18
NL-IT,damage,high,2026-04-04 19:23:18
NL-FR,delay,medium,2026-04-04 18:17:18
FR-ES,customs_issue,medium,2026-04-05 14:05:18
NL-IT,delay,high,2026-04-05 03:12:18
DE-FR,delay,low,2026-04-05 02:11:18
DE-FR,delay,low,2026-04-04 21:52:18
NL-FR,theft,high,2026-04-04 17:44:18
DE-FR,damage,medium,2026-04-05 07:49:18
NL-FR,damage,medium,2026-04-05 02:31:18
NL-DE,delay,medium,2026-04-05 03:36:18
NL-DE,delay,medium,2026-04-05 08:16:18
DE-FR,delay,low,2026-04-05 08:11:18
FR-ES,delay,low,2026-04-04 21:44:18
NL-DE,delay,medium,2026-04-05 12:55:18
NL-DE,customs_issue,low,2026-04-04 23:44:18
NL-DE,damage,low,2026-04-05 11:25:18
FR-ES,delay,medium,2026-04-05 00:02:18
DE-FR,theft,low,2026-04-05 13:41:18
DE-FR,delay,medium,2026-04-05 02:19:18
NL-IT,customs_issue,low,2026-04-05 08:55:18
NL-DE,delay,low,2026-04-04 22:28:18
NL-FR,damage,medium,2026-04-05 06:41:18
NL-IT,delay,low,2026-04-05 04:41:18
NL-DE,theft,high,2026-04-05 08:48:18
DE-FR,delay,medium,2026-04-05 13:22:18
DE-FR,damage,high,2026-04-05 06:04:18
NL-DE,delay,high,2026-04-05 01:23:18
DE-FR,damage,medium,2026-04-05 06:47:18
NL-DE,delay,medium,2026-04-04 18:04:18
NL-IT,delay,medium,2026-04-04 19:01:18
NL-FR,customs_issue,low,2026-04-05 02:34:18
NL-IT,damage,high,2026-04-05 00:52:18
NL-IT,customs_issue,medium,2026-04-05 07:09:18
DE-FR,delay,high,2026-04-05 14:14:18
NL-DE,delay,medium,2026-04-05 00:47:18
NL-IT,damage,high,2026-04-04 20:10:18
DE-FR,delay,low,2026-04-05 11:28:18
NL-IT,delay,high,2026-04-04 21:30:18
NL-IT,theft,high,2026-04-05 15:16:18
DE-FR,delay,high,2026-04-05 12:53:18
DE-FR,delay,low,2026-04-05 11:48:18
NL-IT,damage,low,2026-04-05 06:32:18
DE-FR,delay,low,2026-04-05 01:05:18
NL-IT,delay,high,2026-04-05 09:31:18
DE-FR,delay,medium,2026-04-04 22:31:18
NL-FR,delay,high,2026-04-05 11:30:18
DE-FR,delay,high,2026-04-05 01:35:18
NL-IT,delay,low,2026-04-04 22:18:18
NL-IT,delay,low,2026-04-05 12:05:18
NL-FR,delay,medium,2026-04-05 16:21:18
FR-ES,theft,low,2026-04-04 18:37:18
DE-FR,customs_issue,medium,2026-04-04 23:38:18
NL-FR,theft,low,2026-04-05 00:22:18
DE-FR,delay,high,2026-04-05 05:10:18
NL-FR,damage,medium,2026-04-04 20:11:18
NL-FR,damage,high,2026-04-05 09:08:18
NL-DE,damage,medium,2026-04-05 16:23:18
DE-FR,delay,low,2026-04-04 21:47:18
FR-ES,theft,low,2026-04-05 05:48:18
NL-FR,delay,medium,2026-04-05 08:41:18
NL-IT,delay,low,2026-04-05 12:36:18
NL-IT,damage,medium,2026-04-04 21:26:18
FR-ES,delay,high,2026-04-04 18:49:18
NL-IT,delay,medium,2026-04-04 22:55:18
NL-FR,customs_issue,high,2026-04-04 20:47:18
NL-DE,customs_issue,high,2026-04-05 13:07:18
NL-FR,delay,high,2026-04-05 12:27:18
NL-DE,delay,low,2026-04-05 14:25:18
FR-ES,delay,low,2026-04-04 23:16:18
NL-FR,damage,high,2026-04-05 06:46:18
FR-ES,theft,low,2026-04-05 09:06:18
NL-IT,delay,high,2026-04-05 07:18:18
NL-DE,delay,medium,2026-04-05 15:06:18
NL-IT,delay,medium,2026-04-05 07:14:18
NL-DE,delay,low,2026-04-05 10:08:18
NL-DE,theft,medium,2026-04-05 04:34:18
